Designator,Footprint,Quantity,Value,LCSC Part #
A1BUS1,BUS_A2,1,A2_BUS,
"C1, C2",C_Disc_D3.0mm_W1.6mm_P2.54mm,2,68p,
"C10, C13, C5, C6, C7, C8, C9",C_Disc_D4.3mm_W1.9mm_P5.08mm,7,0.1u,
"C11, C12",CP_Radial_D5.0mm_P2.00mm,2,10u,
"C3, C4",C_Disc_D4.3mm_W1.9mm_P5.08mm,2,0.33u,
D1,D_DO-41_SOD81_P10.16mm_Horizontal,1,1N4001,
J1,PinHeader_1x30_P2.54mm_Vertical,1,DCJ11A,
J10,PinSocket_2x03_P2.54mm_Vertical,1,~,
J2,PinHeader_1x30_P2.54mm_Vertical,1,DCJ11B,
"J3, J4",PinHeader_1x24_P2.54mm_Vertical,2,TN9A,
J5,PinHeader_1x25_P2.54mm_Vertical,1,A2BUSA,
J6,PinHeader_1x25_P2.54mm_Vertical,1,A2BUSB,
J7,PinHeader_1x02_P2.54mm_Vertical,1,3V3,
J8,PinHeader_1x02_P2.54mm_Vertical,1,5V,
J9,PinHeader_2x09_P2.54mm_Vertical,1,Jumper,
JP1,PinHeader_2x01_P2.54mm_Vertical,1,RES-INIT,
JP2,PinHeader_2x01_P2.54mm_Vertical,1,IOSEL-HALT,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,1M,
"R2, R3, R4, R5",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4,10k,
SW1,SW_PUSH_6mm_H4.3mm,1,HALT,
SW2,SW_PUSH_6mm_H4.3mm,1,INIT,
U1,DCJ11,1,DCJ11,
U11,AE-LCNV4-MOSFET,1,AE-LCNV4-MOSFET,
"U2, U3, U4, U5, U6, U7",DIP-20_W7.62mm,6,SN74LVC245AN,
U8,TangNano9K,1,TangNano9K,
U9,DIP-14_W7.62mm_Socket,1,74LS00,
Y1,Crystal_HC18-U_Horizontal,1,18M,
